id,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,species
96,5.7,3.0,4.2,1.2,1,versicolor
97,5.7,2.9,4.2,1.3,1,versicolor
98,6.2,2.9,4.3,1.3,1,versicolor
99,5.1,2.5,3.0,1.1,1,versicolor
100,5.7,2.8,4.1,1.3,1,versicolor
101,6.3,3.3,6.0,2.5,2,virginica
102,5.8,2.7,5.1,1.9,2,virginica
103,7.1,3.0,5.9,2.1,2,virginica
104,,2.9,5.6,1.8,2,virginica
105,6.5,3.0,5.8,2.2,2,virginica
106,7.6,3.0,6.6,2.1,2,virginica
107,4.9,2.5,4.5,1.7,2,virginica
108,7.3,2.9,6.3,1.8,2,virginica
109,6.7,2.5,5.8,1.8,2,virginica
110,7.2,3.6,6.1,2.5,2,virginica
111,6.5,3.2,5.1,2.0,2,virginica
112,6.4,2.7,5.3,1.9,2,virginica
113,6.8,3.0,5.5,2.1,2,virginica
114,5.7,2.5,5.0,2.0,2,virginica
115,5.8,2.8,5.1,2.4,2,virginica
116,6.4,3.2,5.3,2.3,2,virginica
117,6.5,3.0,5.5,1.8,2,virginica
118,7.7,3.8,6.7,2.2,2,virginica
119,7.7,2.6,6.9,2.3,2,virginica
120,6.0,,5.0,1.5,2,virginica
121,6.9,3.2,5.7,2.3,2,virginica
122,5.6,2.8,4.9,2.0,2,virginica
123,7.7,2.8,6.7,2.0,2,virginica
124,6.3,2.7,4.9,1.8,2,virginica
125,6.7,3.3,5.7,2.1,2,virginica
126,,3.2,6.0,1.8,2,virginica
127,6.2,2.8,4.8,1.8,2,virginica
128,6.1,3.0,4.9,1.8,2,virginica
129,6.4,2.8,5.6,2.1,2,virginica
130,7.2,3.0,5.8,1.6,2,virginica
131,7.4,2.8,6.1,1.9,2,virginica
132,7.9,3.8,6.4,2.0,2,virginica
133,,2.8,5.6,2.2,2,virginica
134,6.3,2.8,5.1,1.5,2,virginica
135,6.1,2.6,5.6,1.4,2,virginica
136,7.7,3.0,6.1,2.3,2,virginica
137,6.3,3.4,5.6,2.4,2,virginica
138,6.4,3.1,5.5,1.8,2,virginica
139,6.0,,4.8,1.8,2,virginica
140,6.9,3.1,5.4,2.1,2,virginica
141,6.7,3.1,5.6,2.4,2,virginica
142,6.9,3.1,5.1,2.3,2,virginica
143,5.8,2.7,5.1,1.9,2,virginica
144,6.8,3.2,5.9,2.3,2,virginica
145,6.7,3.3,5.7,2.5,2,virginica
146,6.7,3.0,5.2,2.3,2,virginica
147,6.3,2.5,5.0,1.9,2,virginica
148,6.5,3.0,5.2,2.0,2,virginica
149,6.2,3.4,5.4,2.3,2,virginica
150,5.9,3.0,5.1,1.8,2,virginica
